ProductID,ProductName,ProductBrand,Gender,Price (INR),NumImages,Description,PrimaryColor
10003199,gini and jony girls yellow fit and flare embellished dress,gini and jony,girls,1619,3,"yellow embellished woven fit and flare dress, has a round neck, short sleeves, zip closure, an attached lining, and flared hem",yellow
10017405,story@home off-white & blue geometric 210tc cotton 1 king bedsheet with 2 pillow covers,story@home,unisex,1199,4,set content: 1 king bedsheet with 2 pillow coversquality: finethread count: 210colour: off-white and bluepattern: geometric,blue
10013687,parfait plus size blue solid underwired lightly padded plunge bra 2801,parfait,women,1189,2,blue solid medium-coverage plunge bra with lace detaillightly padded and underwired seamless cupsregular straps and back closureback style: regularfeature: all day comfort,blue
10015163,urban dog men grey solid regular fit sports shorts,urban dog,men,399,5,"grey solid mid-rise sports shorts, has two pockets, a drawstring closure",grey
1000710,ahilya sterling silver textured bangle,ahilya,women,9756,5,"sterling silver textured bangle, has animal-shaped detail on the endsnote: this jewellery is handcrafted, therefore there might be slight variations from the image.",red
10013541,parfait plus size blue solid underwired lightly padded t-shirt bra p5441,parfait,women,1609,2,blue solid medium-coverage t-shirt bralightly padded and underwired seamless cupsregular straps and back closureback style: regularfeature: all day comfort,blue
10002833,vastramay boys navy blue & maroon solid kurta with dhoti pants & jacket,vastramay,boys,1469,3,"navy blue and maroon solid kurta with dhoti pantsnavy blue straight above knee kurta, has a mandarin collar, long sleeves, curved hemgold-toned solid dhoti pants, slip-on closuremaroon woven design nehru jacket, has a mandarin collar, sleeveless, one welt pocket",blue
10005915,difference of opinion men grey melange printed round neck t-shirt,difference of opinion,men,499,5,"grey printed t-shirt, has round neck, long sleeves",grey
10002707,campus sutra men white & blue regular fit colourblocked casual shirt,campus sutra,men,479,5,"white and blue colourblocked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",blue
10012433,fido dido men white printed round neck t-shirt,fido dido,men,449,5,"white and black printed t-shirt,has round neck,short sleeves",white
10012699,miah decor beige & black indian art printed set of 4 ceramic bowls,miah decor,unisex,1469,5,type: bowlspattern: printedfinish: matte material: ceramic,black
10012851,jewel junction gold-toned geometric cufflinks,jewel junction,men,539,5,a pair of gold-toned and blue geometric printed cufflinkscomes in a signature jewel junction case,gold
10016755,vishudh women off-white & green floral print a-line dress,vishudh,women,1299,5,"off-white and green printed woven a-line dress, has a mandarin collar, three-quarter sleeves, button closure,, flared hem",green
10015159,urban dog men grey printed regular fit sports shorts,urban dog,men,399,5,"grey printed mid-rise sports shorts, has two pockets, a drawstring closure",grey
10013655,parfait plus size women navy blue  white solid low-rise bikini brief pp303,parfait,women,499,3,"navy blue and white solid low rise bikini briefs, has an inner elasticated waistband with lace detail, double layered gusset",blue
